obs_id;proj_code;locality;CAT_sp;specificity_cat;fifty;remove_cat;singlecat;cat_5;plant;common_plants_only;five;PLANT_sp;obs_date;guild;para_obs_id;para_specimen_no;USNMNM;PAR_sp;PAR_species;ID_by;plus;GENERAL;rarity;Par_remove;singlepara_1;host_sp;source_obs_id;family_par;specificity_par
357217;BETADIV;Yapsiei;Meekiaria purpurea;;1;0;0;1;PYB;No;0;Psychotria cf. hollandiae;26.01.2004;PAR;365408;US00454280;USNM00454280;AGAT001;#N/A;;0;GEN;1;0;0;;88605;Braconidae;
357160;BETADIV;Yapsiei;Meekiaria purpurea;;1;0;0;1;PYB;No;0;Psychotria cf. hollandiae;23.02.2004;PAR;365351;US00454223;USNM00454223;AGAT001;#N/A;;0;GEN;1;0;0;;88548;Braconidae;
357269;BETADIV;Yapsiei;Nothomastix klossi;;0;0;0;1;PYR;No;0;Psychotria aff. ectasiphylla;12.03.2004;PAR;365460;US00455187;USNM00455187;AGAT001;#N/A;;0;GEN;1;0;0;;88944;Braconidae;
357093;BETADIV;Yapsiei;Meekiaria sp. BOLD:AAA3374;;1;0;0;1;PYR;No;0;Psychotria aff. ectasiphylla;11.03.2004;PAR;365284;US00454156;USNM00454156;AGAT001;#N/A;;0;GEN;1;0;0;;88481;Braconidae;
356249;BETADIV;Wanang;Mellea ordinaria complex;;1;0;0;1;MAF;Yes;0;Macaranga cf. brachytricha;21.01.2003;PAR;364440;US00211813;USNM00211813;AGAT010;#N/A;;0;MONO;1;0;1;;66550;Braconidae;
355977;BETADIV;Wanang;Loboschiza sp. AAI1072;;1;0;0;1;SYW;Yes;1;"Syzygium cf. ""stipulare""";11.12.2002;PAR;364168;US00209075;USNM00209075;AGAT013;#N/A;;0;GEN;1;0;0;;58966;Braconidae;
357859;HS-CATS;Ohu2;Dudua n. sp. nr. aprobola;;1;0;0;1;SRB;Yes;0;Syzygium sp.;29.09.2004;PAR;366050;US00499279;USNM00499279;AGAT013;#N/A;;0;GEN;1;0;0;;117616;Braconidae;
357175;BETADIV;Yapsiei;Choreutis lutescens;;1;0;0;1;COP;Yes;0;Ficus copiosa;25.02.2004;PAR;365366;US00454238;USNM00454238;AGAT022;#N/A;;plus;GEN;0;0;0;1;88563;Braconidae;
358232;HS-CATS;Ohu1;Choreutis lutescens;;1;0;0;1;COP;Yes;0;Ficus copiosa;23.06.2004;PAR;366423;US00506210;USNM00506210;AGAT022;#N/A;;plus;GEN;0;0;0;1;123541;Braconidae;
359561;HS-CATS;Ohu2;Choreutis lutescens;;1;0;0;1;COP;Yes;0;Ficus copiosa;16.10.2004;PAR;367752;US00510055;USNM00510055;AGAT022;#N/A;;plus;GEN;0;0;0;1;142172;Braconidae;
