locality;caterpillar;plant
Yapsiei;Meekiaria purpurea;Psychotria cf. hollandiae
Yapsiei;Meekiaria purpurea;Psychotria cf. hollandiae
Yapsiei;Nothomastix klossi;Psychotria aff. ectasiphylla
Yapsiei;Meekiaria sp. BOLD:AAA3374;Psychotria aff. ectasiphylla
Wanang;Mellea ordinaria complex;Macaranga cf. brachytricha
Wanang;Loboschiza sp. AAI1072;"Syzygium cf. ""stipulare"""
Ohu2;Dudua n. sp. nr. aprobola;Syzygium sp.
Yapsiei;Choreutis lutescens;Ficus copiosa
Ohu1;Choreutis lutescens;Ficus copiosa
Ohu2;Choreutis lutescens;Ficus copiosa
Ohu1;Choreutis lutescens;Ficus copiosa
Ohu1;Talanga excelsalis;Ficus copiosa
Ohu2;Choreutis cf. anthorma;Ficus phaeosyce
Wanang;Choreutis lutescens;Ficus copiosa
Wanang;Choreutis lutescens;Ficus copiosa
Wanang;Choreutis lutescens;Ficus copiosa
Elem;Choreutis lutescens;Ficus copiosa
Yapsiei;Choreutis lutescens;Ficus copiosa
Yapsiei;Choreutis lutescens;Ficus copiosa
Yapsiei;Choreutis lutescens;Ficus copiosa
Yapsiei;Talanga excelsalis;Ficus copiosa
Yapsiei;Choreutis lutescens;Ficus copiosa
Wanang;Choreutis lutescens;Ficus copiosa
Ohu1;Choreutis lutescens;Ficus copiosa
Wamangu;Choreutis lutescens;Ficus copiosa
Wamangu;Choreutis lutescens;Ficus copiosa
Wamangu;Choreutis lutescens;Ficus copiosa
Wamangu;Choreutis lutescens;Ficus copiosa
Morox;Choreutis lutescens;Ficus copiosa
Morox;Choreutis lutescens;Ficus copiosa
Morox;Choreutis lutescens;Ficus copiosa
Morox;Choreutis lutescens;Ficus copiosa
Ohu2;Choreutis cf. anthorma;Ficus copiosa
Ohu2;Brenthia JR37;Ficus dammaropsis
Ohu2;Brenthia JR37;Ficus dammaropsis
Ohu2;Brenthia JR37;Ficus dammaropsis
Ohu2;Brenthia JR37;Ficus dammaropsis
Ohu1;Brenthia JR37;Ficus dammaropsis
Ohu1;Brenthia JR34;Ficus conocephalifolia
Ohu1;Brenthia JR37;Ficus dammaropsis
Ohu1;Brenthia JR37;Ficus dammaropsis
Ohu1;Brenthia JR37;Ficus dammaropsis
Morox;Brenthia JR37;Ficus dammaropsis
Wanang;Choreutis cf. anthorma;Ficus hahliana
Ohu2;Brenthia JR37;Ficus dammaropsis
Ohu1;Brenthia JR54;Ficus dammaropsis
Ohu2;Brenthia JR37;Ficus dammaropsis
Morox;Brenthia JR37;Ficus dammaropsis
Morox;Brenthia JR37;Ficus dammaropsis
Morox;Brenthia JR37;Ficus dammaropsis
Morox;Brenthia JR37;Ficus dammaropsis
Ohu1;Pseudocera nr. trissosticha;Syzygium sp.
Ohu1;Pseudocera nr. trissosticha;Syzygium sp.
Ohu1;Pseudocera nr. trissosticha;Syzygium sp.
Ohu1;Pseudocera nr. trissosticha;Syzygium sp.
Ohu1;Pseudocera sp. AAB1481;Syzygium sp.
Ohu1;Pseudocera nr. trissosticha;Syzygium sp.
Ohu1;Agrotera ignepictoides;Syzygium sp.
