Species	value	skupina	type	
Addaea pusilla	0	NOPARA	mean_num_localities	
Adoxophyes n. sp. nr. orana	0	NOPARA	mean_num_localities	
Adoxophyes sp. 3	0	NOPARA	mean_num_localities	
Albinospila sp. AAB0430	0	NOPARA	mean_num_localities	
Brenthia JR54	0	NOPARA	mean_num_localities	
Dichomeris n. sp. nr. ochreoviridella	0	NOPARA	mean_num_localities	
Dichomeris ochreoviridella	0	NOPARA	mean_num_localities	
Dichomeris sp. XXXX068	0	NOPARA	mean_num_localities	
Glyphodes margaritaria	0	NOPARA	mean_num_localities	
Choreutis basalis	0	NOPARA	mean_num_localities	
Choreutis cf. anthorma	0	NOPARA	mean_num_localities	
Choreutis lutescens	0	NOPARA	mean_num_localities	
Jodis albifusa	0	NOPARA	mean_num_localities	
Loboschiza sp. AAI1072	0	NOPARA	mean_num_localities	
Meekiaria purpurea	0	NOPARA	mean_num_localities	
Mellea nitida	0	NOPARA	mean_num_localities	
Mellea ordinaria complex	0	NOPARA	mean_num_localities	
Moca congrualis	0	NOPARA	mean_num_localities	
Nycteola n. sp. AAB7439	0	NOPARA	mean_num_localities	
Ophiorrhabda deceptor	0	NOPARA	mean_num_localities	
Pharambara splendida	0	NOPARA	mean_num_localities	
Philiris helena	0	NOPARA	mean_num_localities	
Talanga excelsalis	0	NOPARA	mean_num_localities	
Talanga sexpunctalis complex	0	NOPARA	mean_num_localities	
Unadophanes trissomita	0	NOPARA	mean_num_localities	
Addaea pusilla	0	NOPARA	mean_num_no_para_loc	
Dichomeris n. sp. nr. ochreoviridella	0	NOPARA	mean_num_no_para_loc	
Dichomeris ochreoviridella	0	NOPARA	mean_num_no_para_loc	
Dichomeris sp. XXXX068	0	NOPARA	mean_num_no_para_loc	
Choreutis cf. anthorma	0	NOPARA	mean_num_no_para_loc	
Choreutis lutescens	0	NOPARA	mean_num_no_para_loc	
Meekiaria purpurea	0	NOPARA	mean_num_no_para_loc	
Mellea nitida	0	NOPARA	mean_num_no_para_loc	
Pharambara splendida	0	NOPARA	mean_num_no_para_loc	
Philiris helena	0	NOPARA	mean_num_no_para_loc	
Talanga excelsalis	0	NOPARA	mean_num_no_para_loc	
Talanga sexpunctalis complex	0	NOPARA	mean_num_no_para_loc	
Glyphodes margaritaria	0.1	NOPARA	mean_num_no_para_loc	
Mellea ordinaria complex	0.1	NOPARA	mean_num_no_para_loc	
Unadophanes trissomita	0.1	NOPARA	mean_num_no_para_loc	
Brenthia JR54	0.3	NOPARA	mean_num_no_para_loc	
Jodis albifusa	0.4	NOPARA	mean_num_no_para_loc	
Ophiorrhabda deceptor	0.4	NOPARA	mean_num_no_para_loc	
Adoxophyes n. sp. nr. orana	0.5	NOPARA	mean_num_no_para_loc	
Choreutis basalis	0.5	NOPARA	mean_num_no_para_loc	
Loboschiza sp. AAI1072	0.6	NOPARA	mean_num_no_para_loc	
Albinospila sp. AAB0430	0.9	NOPARA	mean_num_no_para_loc	
Nycteola n. sp. AAB7439	0.9	NOPARA	mean_num_no_para_loc	
Adoxophyes n. sp. nr. orana	1	PAR	mean_num_localities	
Adoxophyes sp. 3	1	PAR	mean_num_localities	
Adoxophyes templana complex	1	PAR	mean_num_localities	
Adoxophyes thoracica	1	PAR	mean_num_localities	
Adoxophyes tripselia	1	PAR	mean_num_localities	
Agriophara sp. AAD4602	1	PAR	mean_num_localities	
Agrotera genuflexa	1	PAR	mean_num_localities	
Agrotera ignepictoides	1	PAR	mean_num_localities	
Arctornis nr. intacta 2 SEM-2008	1	PAR	mean_num_localities	
Artaxa sp. AAD5374	1	PAR	mean_num_localities	
Brenthia sp. AAC1206	1	PAR	mean_num_localities	
Brenthia sp. AAI3833	1	PAR	mean_num_localities	
Brenthia sp. AAI3835	1	PAR	mean_num_localities	
Brenthia sp. AAL5584	1	PAR	mean_num_localities	
Cangetta cf. rectilinea	1	PAR	mean_num_localities	
Cirrhochrista xanthographis	1	PAR	mean_num_localities	
CopromorphidaeGEN sp. AAG0483	1	PAR	mean_num_localities	
Dichomeris sp. AAB2697	1	PAR	mean_num_localities	
Dizuga recusataria	1	PAR	mean_num_localities	
Dudua n. sp. nr. aprobola	1	PAR	mean_num_localities	
Euploea leucostictos	1	PAR	mean_num_localities	
Gauna phaealis	1	PAR	mean_num_localities	
Gauna sp. AAF4890	1	PAR	mean_num_localities	
Geometridae sp.GEOM056	1	PAR	mean_num_localities	
Holocola n. sp. AAC7734	1	PAR	mean_num_localities	
Homona mermerodes	1	PAR	mean_num_localities	
Homona trachyptera	1	PAR	mean_num_localities	
Hyposidra incomptaria	1	PAR	mean_num_localities	
Hyposidra talaca	1	PAR	mean_num_localities	
Chamaita pr. metamelaena	1	PAR	mean_num_localities	
Choreutis chi	1	PAR	mean_num_localities	
Choreutis JR06	1	PAR	mean_num_localities	
Choreutis JR2	1	PAR	mean_num_localities	
Chrysocraspeda nr. inundata	1	PAR	mean_num_localities	
Chrysocraspeda sp. AAC8547	1	PAR	mean_num_localities	
Idiophantis n. sp. AAB7063	1	PAR	mean_num_localities	
Idiophantis n. sp. AAB7064	1	PAR	mean_num_localities	
Jodis albifusa	1	PAR	mean_num_localities	
Lactura rhodographa	1	PAR	mean_num_localities	
Lactura sp. AAI2177	1	PAR	mean_num_localities	
Lambula sp. USNM5	1	PAR	mean_num_localities	
Limacodidae sp.LIMA007	1	PAR	mean_num_localities	
Lista carniola	1	PAR	mean_num_localities	
Loboschiza sp. AAI1072	1	PAR	mean_num_localities	
Lymantriidae sp.LYMA045	1	PAR	mean_num_localities	
Macroglossum melas pullius	1	PAR	mean_num_localities	
Macrothyma sanguinolenta	1	PAR	mean_num_localities	
Mecistoptera n. sp. AAB6947	1	PAR	mean_num_localities	
Mecistoptera sophiewagnerae	1	PAR	mean_num_localities	
Meekiaria nigriscriptalis	1	PAR	mean_num_localities	
Meekiaria nr. lignea	1	PAR	mean_num_localities	
Meekiaria sp. AAA3375	1	PAR	mean_num_localities	
Meekiaria sp. AAA3376	1	PAR	mean_num_localities	
Meekiaria sp. AAA3378	1	PAR	mean_num_localities	
Meekiaria sp. AAA3380	1	PAR	mean_num_localities	
Meekiaria sp. CRAM151	1	PAR	mean_num_localities	
Mellea hieroglyphica	1	PAR	mean_num_localities	
Mellea rectiviata	1	PAR	mean_num_localities	
Mellea sp. AAI1457	1	PAR	mean_num_localities	
Mellea sp. AAI1460	1	PAR	mean_num_localities	
Mellea sp. AAI1461	1	PAR	mean_num_localities	
Mellea sp.near rectiviata	1	PAR	mean_num_localities	
Moca congrualis	1	PAR	mean_num_localities	
Noctuidae sp.NOCT061	1	PAR	mean_num_localities	
NolidaeGEN sp. AAH3367	1	PAR	mean_num_localities	
Nothomastix klossi	1	PAR	mean_num_localities	
Nycteola n. sp. AAB7439	1	PAR	mean_num_localities	
Nycteola nr. pseudoindica	1	PAR	mean_num_localities	
OecophoridaeGEN sp. AAH7348	1	PAR	mean_num_localities	
Orvasca sp. AAD8421	1	PAR	mean_num_localities	
Philiris sp. AAF6866	1	PAR	mean_num_localities	
Piletocera sp. CRAM094	1	PAR	mean_num_localities	
