Locality_A;Locality_B;hodnota;guild;distance;Index
Elem;Morox;0.201504189619751;Caterpillars - subsampled;90.77472995;Chao-Sorensen
Elem;Niksek;0.185401234619245;Caterpillars - subsampled;154.0061049;Chao-Sorensen
Elem;Ohu1;0.159726949861684;Caterpillars - subsampled;201.258343;Chao-Sorensen
Elem;Ohu2;0.173862380707929;Caterpillars - subsampled;201.258343;Chao-Sorensen
Elem;Utai;0.184440554059106;Caterpillars - subsampled;303.431804;Chao-Sorensen
Elem;Wamangu;0.126760131530309;Caterpillars - subsampled;117.5739756;Chao-Sorensen
Elem;Wanang;0.232704016647653;Caterpillars - subsampled;147.5878248;Chao-Sorensen
Elem;Yapsiei;0.250478655898056;Caterpillars - subsampled;313.4830669;Chao-Sorensen
Morox;Elem;0.201504189619751;Caterpillars - subsampled;90.77472995;Chao-Sorensen
Morox;Niksek;0.266836696555752;Caterpillars - subsampled;189.606269;Chao-Sorensen
Morox;Ohu1;0.127333183669123;Caterpillars - subsampled;221.2815185;Chao-Sorensen
Morox;Ohu2;0.149408813896768;Caterpillars - subsampled;221.2815185;Chao-Sorensen
Morox;Utai;0.230277837692254;Caterpillars - subsampled;287.9158341;Chao-Sorensen
Morox;Wamangu;0.175280683207309;Caterpillars - subsampled;55.84802219;Chao-Sorensen
Morox;Wanang;0.322373610215179;Caterpillars - subsampled;180.1038462;Chao-Sorensen
Morox;Yapsiei;0.28921234576336;Caterpillars - subsampled;340.1027542;Chao-Sorensen
Niksek;Elem;0.185401234619245;Caterpillars - subsampled;154.0061049;Chao-Sorensen
Niksek;Morox;0.266836696555752;Caterpillars - subsampled;189.606269;Chao-Sorensen
Niksek;Ohu1;0.236154381726222;Caterpillars - subsampled;354.2902715;Chao-Sorensen
Niksek;Ohu2;0.239487664614251;Caterpillars - subsampled;354.2902715;Chao-Sorensen
Niksek;Utai;0.182578630400281;Caterpillars - subsampled;179.5646836;Chao-Sorensen
Niksek;Wamangu;0.210148636322046;Caterpillars - subsampled;160.0472464;Chao-Sorensen
Niksek;Wanang;0.194275285583712;Caterpillars - subsampled;299.5385578;Chao-Sorensen
Niksek;Yapsiei;0.150649286072749;Caterpillars - subsampled;159.5281216;Chao-Sorensen
Ohu1;Elem;0.159726949861684;Caterpillars - subsampled;201.258343;Chao-Sorensen
Ohu1;Morox;0.127333183669123;Caterpillars - subsampled;221.2815185;Chao-Sorensen
