locality;caterpillar;parasitoid
Yapsiei;Meekiaria purpurea;AGAT001
Yapsiei;Meekiaria purpurea;AGAT001
Yapsiei;Nothomastix klossi;AGAT001
Yapsiei;Meekiaria sp. BOLD:AAA3374;AGAT001
Wanang;Loboschiza sp. AAI1072;AGAT013
Ohu2;Dudua n. sp. nr. aprobola;AGAT013
Yapsiei;Choreutis lutescens;AGAT022
Ohu1;Choreutis lutescens;AGAT022
Ohu2;Choreutis lutescens;AGAT022
Ohu1;Choreutis lutescens;AGAT022
Ohu1;Talanga excelsalis;AGAT022
Ohu2;Choreutis cf. anthorma;AGAT022
Wanang;Choreutis lutescens;AGAT022
Wanang;Choreutis lutescens;AGAT022
Wanang;Choreutis lutescens;AGAT022
Elem;Choreutis lutescens;AGAT022
Yapsiei;Choreutis lutescens;AGAT022
Yapsiei;Choreutis lutescens;AGAT022
Yapsiei;Choreutis lutescens;AGAT022
Yapsiei;Talanga excelsalis;AGAT022
Yapsiei;Choreutis lutescens;AGAT022
Wanang;Choreutis lutescens;AGAT022
Ohu1;Choreutis lutescens;AGAT022
Wamangu;Choreutis lutescens;AGAT022
Wamangu;Choreutis lutescens;AGAT022
Wamangu;Choreutis lutescens;AGAT022
Wamangu;Choreutis lutescens;AGAT022
Morox;Choreutis lutescens;AGAT022
Morox;Choreutis lutescens;AGAT022
Morox;Choreutis lutescens;AGAT022
Morox;Choreutis lutescens;AGAT022
Ohu2;Choreutis cf. anthorma;AGAT022
Ohu2;Brenthia JR37;AGAT023
Ohu2;Brenthia JR37;AGAT023
Ohu2;Brenthia JR37;AGAT023
Ohu2;Brenthia JR37;AGAT023
Ohu1;Brenthia JR37;AGAT023
Ohu1;Brenthia JR34;AGAT023
Ohu1;Brenthia JR37;AGAT023
Ohu1;Brenthia JR37;AGAT023
Ohu1;Brenthia JR37;AGAT023
Morox;Brenthia JR37;AGAT023
Wanang;Choreutis cf. anthorma;AGAT023
Ohu2;Brenthia JR37;AGAT023
Ohu1;Brenthia JR54;AGAT023
Ohu2;Brenthia JR37;AGAT023
Morox;Brenthia JR37;AGAT023
Morox;Brenthia JR37;AGAT023
Morox;Brenthia JR37;AGAT023
Morox;Brenthia JR37;AGAT023
Ohu1;Pseudocera nr. trissosticha;AGAT028
Ohu1;Pseudocera nr. trissosticha;AGAT028
Ohu1;Pseudocera nr. trissosticha;AGAT028
Ohu1;Pseudocera nr. trissosticha;AGAT028
Ohu1;Pseudocera sp. AAB1481;AGAT028
Ohu1;Pseudocera nr. trissosticha;AGAT028
Ohu1;Agrotera ignepictoides;AGAT028
Niksek;Nycteola nr. pseudoindica;AGAT028
