Species;num_localities;num_loc_no_para;mean_num_localities;mean_num_no_para_loc;group
Addaea nr. probolopsis;1,4;7,6;1,2;7,8;PAR
Addaea pusilla;1,6;7,4;1,5;7,5;PAR
Adoxophyes n. sp. nr. orana;1,0;8,0;1,0;8,0;PAR
Adoxophyes sp. 3;1,0;8,0;1,0;8,0;PAR
Adoxophyes templana complex;1,0;8,0;1,0;8,0;PAR
Adoxophyes thoracica;1,0;8,0;1,0;8,0;PAR
Adoxophyes tripselia;1,0;8,0;1,0;8,0;PAR
Agriophara sp. AAD4602;1,0;8,0;1,0;8,0;PAR
Agrotera genuflexa;1,0;8,0;1,0;8,0;PAR
Agrotera ignepictoides;1,0;8,0;1,0;8,0;PAR
Agrotera nr. effertalis;1,1;7,9;1,1;7,9;PAR
Albinospila sp. AAB0430;1,5;7,5;1,4;7,6;PAR
Arctornis nr. intacta 1 SEM-2008;1,1;7,9;1,1;7,9;PAR
Arctornis nr. intacta 2 SEM-2008;1,0;8,0;1,0;8,0;PAR
Arctornis nr. intacta 3 SEM-2008;1,5;7,5;1,3;7,7;PAR
Artaxa sp. AAD5374;1,0;8,0;1,0;8,0;PAR
Asota caricae;1,6;7,4;1,5;7,5;PAR
Asota eusemioides;1,3;7,7;1,2;7,8;PAR
Asota plana;1,4;7,6;1,3;7,7;PAR
Brenthia JR22;1,1;7,9;1,1;7,9;PAR
Brenthia JR32;1,7;7,3;1,7;7,3;PAR
Brenthia JR34;1,2;7,8;1,1;7,9;PAR
Brenthia JR37;1,6;7,4;1,5;7,5;PAR
Brenthia JR39;1,3;7,7;1,2;7,8;PAR
Brenthia JR54;1,3;7,7;1,2;7,8;PAR
Brenthia JR62;1,4;7,6;1,4;7,6;PAR
Brenthia sp. AAC1202;1,5;7,5;1,5;7,5;PAR
Brenthia sp. AAC1206;1,0;8,0;1,0;8,0;PAR
Brenthia sp. AAF6821;1,5;7,5;1,2;7,8;PAR
Brenthia sp. AAI3833;1,0;8,0;1,0;8,0;PAR
Brenthia sp. AAI3835;1,0;8,0;1,0;8,0;PAR
Brenthia sp. AAL5584;1,0;8,0;1,0;8,0;PAR
Cangetta cf. rectilinea;1,0;8,0;1,0;8,0;PAR
Cirrhochrista xanthographis;1,0;8,0;1,0;8,0;PAR
Coelorhyncidia nitidalis;1,4;7,6;1,3;7,7;PAR
CopromorphidaeGEN sp. AAG0483;1,0;8,0;1,0;8,0;PAR
CopromorphidaeGEN sp. AAG3732;2,0;7,0;1,6;7,4;PAR
Dichomeris n. sp. nr. ochreoviridella;1,8;7,2;1,6;7,4;PAR
Dichomeris ochreoviridella;1,4;7,6;1,3;7,8;PAR
Dichomeris sp. AAB2697;1,0;8,0;1,0;8,0;PAR
Dichomeris sp. XXXX068;1,5;7,6;1,3;7,7;PAR
Dichomeris sp. XXXX120;1,2;7,8;1,1;7,9;PAR
Dizuga recusataria;1,0;8,0;1,0;8,0;PAR
Dudua n. sp. nr. aprobola;1,0;8,0;1,0;8,0;PAR
Euploea leucostictos;1,0;8,0;1,0;8,0;PAR
Gauna phaealis;1,0;8,0;1,0;8,0;PAR
Gauna sp. AAF4890;1,0;8,0;1,0;8,0;PAR
Geometridae sp.GEOM056;1,0;8,0;1,0;8,0;PAR
Glyphodes margaritaria;1,5;7,5;1,4;7,6;PAR
Holocola n. sp. AAC7734;1,0;8,0;1,0;8,0;PAR
Homona mermerodes;1,0;8,0;1,0;8,0;PAR
Homona trachyptera;1,0;8,0;1,0;8,0;PAR
Hyposidra incomptaria;1,0;8,0;1,0;8,0;PAR
Hyposidra talaca;1,0;8,0;1,0;8,0;PAR
Chamaita pr. metamelaena;1,0;8,0;1,0;8,0;PAR
