dataset,type,metric,mean,sd,mantel_statistic,mantel_significance
Parasitoid-Caterpillar,full,ST,0.7339137682096768,0.08568000360687991,0.3856306320897598,0.045
Parasitoid-Caterpillar,full,OS,0.12438220084185653,0.05601956276812445,-0.08240521019614232,0.708
Parasitoid-Caterpillar,full,WN,0.8582959690515333,0.051902939878515866,0.5188953079538337,0.004
Parasitoid-Caterpillar,full,ST.l,0.1260740934297773,0.039025947693806955,-0.2621515749364778,0.925
Parasitoid-Caterpillar,full,ST.h,0.31044260935946016,0.06682341616370763,0.6091547647467959,0.001
Parasitoid-Caterpillar,full,ST.lh,0.2973970654204393,0.09686582706232824,0.1543810109768354,0.199
Caterpillar-Plant,full,ST,0.5796967383209044,0.10712138692497117,0.45129728396481067,0.016
Caterpillar-Plant,full,OS,0.13122528034064512,0.03671712042963252,-0.08781305211526416,0.682
Caterpillar-Plant,full,WN,0.7109220186615495,0.08435992803703854,0.5685959503533821,0.005
Caterpillar-Plant,full,ST.l,0.22923855915039687,0.03923358823752186,-0.11858624779788607,0.768
Caterpillar-Plant,full,ST.h,0.19520913307624213,0.07083194812634284,0.39786265547824967,0.024
Caterpillar-Plant,full,ST.lh,0.15524904609426537,0.06447314704006911,0.35897769691694503,0.036
Parasitoid-Caterpillar,common caterpillars only,ST,0.7145414586893962,0.08724273074416235,0.38743324606280044,0.02
Parasitoid-Caterpillar,common caterpillars only,OS,0.13188649024670596,0.0570510078307581,-0.0833118784799094,0.688
Parasitoid-Caterpillar,common caterpillars only,WN,0.8464279489361022,0.05568671119515896,0.5510848431867018,0.002
Parasitoid-Caterpillar,common caterpillars only,ST.l,0.11729154752929032,0.0361226592265019,-0.3168941776492381,0.955
Parasitoid-Caterpillar,common caterpillars only,ST.h,0.3390007779797328,0.07424672078037334,0.6139188159612603,0.001
Parasitoid-Caterpillar,common caterpillars only,ST.lh,0.2582491331803731,0.09249206440601872,0.08176141949148497,0.281
Caterpillar-Plant,common caterpillars only,ST,0.4359975413745057,0.12304095078255362,0.496362633290826,0.007
Caterpillar-Plant,common caterpillars only,OS,0.1640956140916408,0.042654873479034475,-0.007854246596819816,0.489
Caterpillar-Plant,common caterpillars only,WN,0.6000931554661465,0.10462523147516734,0.6298848254367629,0.003
Caterpillar-Plant,common caterpillars only,ST.l,0.06876318514502633,0.024047947654052666,0.2901294336171746,0.046
Caterpillar-Plant,common caterpillars only,ST.h,0.2881124840199489,0.10411457899823832,0.4363613396167599,0.019
Caterpillar-Plant,common caterpillars only,ST.lh,0.07912187220953046,0.028755085594228107,0.32511430585196777,0.063
Parasitoid-Caterpillar,common plants only,ST,0.7561397170551216,0.0775789540085768,0.3898796507404984,0.019
Parasitoid-Caterpillar,common plants only,OS,0.1046147403375423,0.043361307522265656,-0.233052235085965,0.887
Parasitoid-Caterpillar,common plants only,WN,0.860754457392664,0.05256554733342292,0.39399991125030553,0.013
Parasitoid-Caterpillar,common plants only,ST.l,0.12412674757225031,0.04395219002063977,-0.27116464480168084,0.926
Parasitoid-Caterpillar,common plants only,ST.h,0.29789504356710084,0.06571716493184691,0.6189403834575878,0.001
Parasitoid-Caterpillar,common plants only,ST.lh,0.33411792591577044,0.09750625448583745,0.21090583484575176,0.126
Caterpillar-Plant,common plants only,ST,0.533541783860689,0.08901699249290465,0.304468217412281,0.046
Caterpillar-Plant,common plants only,OS,0.13243253342777175,0.037881650532621415,0.11626860126111957,0.267
Caterpillar-Plant,common plants only,WN,0.6659743172884607,0.07480674963284933,0.4588591637761316,0.024
Caterpillar-Plant,common plants only,ST.l,0.29322937000604016,0.04411185550455226,0.2127084488187924,0.108
Caterpillar-Plant,common plants only,ST.h,0.10616742882292117,0.04721009810156556,0.11743498172129424,0.251
Caterpillar-Plant,common plants only,ST.lh,0.13414498503172761,0.06402315507338073,0.14601173181628968,0.201
